grassRegrow,id,initialSheep,initialWolves,sheepGain,sheepRepro,trajSpecies1,trajSpecies2,trajSpecies3,withGrass,wolfGain,wolfRepro
80.0,2499,186.73376520260285,59.20633959058591,100.0,20.0,219-872-1037-31-0-0-0-0-0-0-0,71-380-1931-8605-15827-12941-5987-1557-394-78-1,0-0-0-0-0-0-0-0-0-0-0,0.0,100.0,20.0
80.0,2498,186.73376520260285,59.20633959058591,100.0,20.0,221-987-2000-635-0-0-0-0-0-0-0-0-0-0-0-0,73-263-941-3748-12366-22423-21716-12971-5764-1962-653-166-59-18-2-1,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,0.0,100.0,15.0
80.0,2497,186.73376520260285,59.20633959058591,100.0,20.0,218-1007-3998-14499,61-130-347-922,0-0-0-0,0.0,100.0,10.0
80.0,2496,186.73376520260285,59.20633959058591,100.0,20.0,218-999-4864-25860,63-91-152-245,0-0-0-0,0.0,100.0,5.0
80.0,2495,186.73376520260285,59.20633959058591,100.0,20.0,220-1124-6132,59-58-58,0-0-0,0.0,100.0,0.0
80.0,2494,186.73376520260285,59.20633959058591,100.0,15.0,211-542-259-0-0-0-0-0-0,74-405-1957-6731-6703-2504-530-62-3,0-0-0-0-0-0-0-0-0,0.0,100.0,20.0
80.0,2493,186.73376520260285,59.20633959058591,100.0,15.0,205-549-582-13-0-0-0-0-0-0-0-0,71-248-928-3231-6713-6445-3358-1208-286-47-17-1,0-0-0-0-0-0-0-0-0-0-0-0,0.0,100.0,15.0
80.0,2492,186.73376520260285,59.20633959058591,100.0,15.0,207-585-1231-1299-95-0-0-0-0-0-0-0-0-0-0-0-0-0-0,62-157-374-942-2425-5781-10179-11718-10028-6616-3620-1978-937-448-169-54-20-4-5,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,0.0,100.0,10.0
80.0,2491,186.73376520260285,59.20633959058591,100.0,15.0,209-625-1933-5311-16228,61-93-151-242-418,0-0-0-0-0,0.0,100.0,5.0
80.0,2490,186.73376520260285,59.20633959058591,100.0,15.0,205-730-2528-9043,59-58-58-58,0-0-0-0,0.0,100.0,0.0
80.0,2489,186.73376520260285,59.20633959058591,100.0,10.0,205-271-88-0-0-0-0-0-0,73-361-1406-3055-2193-645-101-14-0,0-0-0-0-0-0-0-0-0,0.0,100.0,20.0
80.0,2488,186.73376520260285,59.20633959058591,100.0,10.0,203-324-241-14-0-0-0-0-0-0,65-220-729-2143-3435-2286-903-294-84-4,0-0-0-0-0-0-0-0-0-0,0.0,100.0,15.0
